Nodes,Protocol,Run,Throughput,PDR,Detection_Time,Delay
14,aodv,2,0.8286,61.72,N/A,0.047865
14,pgh,4,0.5432,40.46,15.1000,0.029795
14,aodv,5,0.7146,53.22,N/A,0.055366
14,aodv,4,0.5667,42.21,N/A,0.027590
14,olsr,2,0.6368,61.66,N/A,0.031146
14,olsr,1,0.9624,73.52,N/A,0.042230
14,olsr,4,0.5255,58.10,N/A,0.031306
14,olsr,5,0.5453,46.00,N/A,0.032099
14,olsr,3,0.6635,70.38,N/A,0.011248
15,gpsr,2,0.5023,37.69,N/A,0.059211
11,pgh,2,0.5097,46.25,15.1000,0.279186
15,gpsr,1,0.5072,38.07,N/A,0.023561
15,gpsr,3,0.4344,32.60,N/A,0.021206
14,pgh,2,0.8068,60.10,15.1000,0.068860
15,gpsr,4,0.6649,49.90,N/A,0.032781
14,cbrp,3,0.6452,48.65,N/A,0.015260
15,gpsr,5,0.5745,43.11,N/A,0.041775
15,pgh,1,0.8129,61.01,16.1000,0.057094
15,cbrp,2,0.5260,39.48,N/A,0.061599
